,A,B,max_Delay
1027,12,39,480
1028,12,40,492
1029,12,41,504
1030,12,42,516
1031,12,43,528
1032,12,44,540
1033,12,45,552
1034,12,46,564
1035,12,47,576
1036,12,48,588
1037,12,49,511
1038,12,50,510
1039,12,51,584
1040,12,52,636
1041,12,53,648
1042,12,54,660
1043,12,55,672
1044,12,56,684
1045,12,57,696
1046,12,58,708
1047,12,59,720
1048,12,60,732
1049,12,61,744
1050,12,62,756
1051,12,63,651
1052,12,64,650
1053,12,65,792
1054,12,66,804
1055,12,67,816
1056,12,68,828
1057,12,69,840
1058,12,70,852
1059,12,71,864
1060,12,72,876
1061,12,73,751
1062,12,74,750
1063,12,75,771
1064,12,76,770
1065,12,77,791
1066,12,78,790
1067,12,79,811
1068,12,80,810
1069,12,81,984
1070,12,82,996
1071,12,83,1008
1072,12,84,1020
1073,12,85,1032
1074,12,86,1044
1075,12,87,1056
1076,12,88,1068
1077,12,89,911
1078,12,90,910
1079,12,91,1104
1080,12,92,1116
1081,12,93,1128
1082,12,94,1140
1083,12,95,1152
1084,12,96,1164
1085,12,97,1176
1086,12,98,1188
1087,12,99,1200
1088,12,100,1212
1089,13,2,1
1090,13,3,14
1091,13,4,31
1092,13,5,154
1093,13,6,61
1094,13,7,46
1095,13,8,98
1096,13,9,154
1097,13,10,140
1098,13,11,183
1099,13,12,168
1100,13,13,154
1101,13,14,180
1102,13,15,205
1103,13,16,204
1104,13,17,229
1105,13,18,228
1106,13,19,633
1107,13,20,375
1108,13,21,264
1109,13,22,276
1110,13,23,301
1111,13,24,300
1112,13,25,298
1113,13,26,324
1114,13,27,336
1115,13,28,319
1116,13,29,373
1117,13,30,372
1118,13,31,397
1119,13,32,330
1120,13,33,771
1121,13,34,541
1122,13,35,396
1123,13,36,444
1124,13,37,430
1125,13,38,468
1126,13,39,493
1127,13,40,492
1128,13,41,504
1129,13,42,441
1130,13,43,541
1131,13,44,540
1132,13,45,565
1133,13,46,529
1134,13,47,736
1135,13,48,784
1136,13,49,511
1137,13,50,510
1138,13,51,637
1139,13,52,636
1140,13,53,606
1141,13,54,660
1142,13,55,672
1143,13,56,639
1144,13,57,709
1145,13,58,708
1146,13,59,733
1147,13,60,732
1148,13,61,1135
1149,13,62,1008
1150,13,63,716
1151,13,64,780
1152,13,65,738
1153,13,66,804
1154,13,67,829
1155,13,68,828
1156,13,69,840
1157,13,70,710
1158,13,71,877
1159,13,72,730
1160,13,73,901
1161,13,74,900
1162,13,75,1849
1163,13,76,1771
1164,13,77,949
1165,13,78,948
1166,13,79,720
1167,13,80,810
1168,13,81,831
1169,13,82,996
1170,13,83,1008
1171,13,84,1020
1172,13,85,1045
1173,13,86,870
1174,13,87,891
1175,13,88,1068
1176,13,89,2430
1177,13,90,2485
1178,13,91,1117
1179,13,92,930
1180,13,93,951
1181,13,94,1140
1182,13,95,1165
1183,13,96,1164
1184,13,97,1176
1185,13,98,990
1186,13,99,1011
1187,13,100,919
1188,14,2,1
1189,14,3,30
1190,14,4,30
1191,14,5,177
1192,14,6,60
1193,14,7,90
1194,14,8,113
1195,14,9,209
1196,14,10,150
1197,14,11,195
1198,14,12,180
1199,14,13,180
1200,14,14,180
1201,14,15,224
1202,14,16,221
1203,14,17,248
1204,14,18,247
1205,14,19,549
1206,14,20,287
1207,14,21,277
1208,14,22,276
1209,14,23,451
1210,14,24,339
1211,14,25,338
1212,14,26,365
1213,14,27,349
1214,14,28,348
1215,14,29,373
1216,14,30,372
1217,14,31,416
1218,14,32,443
1219,14,33,442
1220,14,34,2489
1221,14,35,445
1222,14,36,444
1223,14,37,494
1224,14,38,780
1225,14,39,534
1226,14,40,533
1227,14,41,560
1228,14,42,602
1229,14,43,541
1230,14,44,540
1231,14,45,644
1232,14,46,611
1233,14,47,638
1234,14,48,637
1235,14,49,1225
1236,14,50,677
1237,14,51,637
1238,14,52,636
1239,14,53,1156
1240,14,54,729
1241,14,55,728
1242,14,56,755
1243,14,57,709
1244,14,58,708
1245,14,59,733
1246,14,60,732
1247,14,61,806
1248,14,62,833
1249,14,63,832
1250,14,64,2340
1251,14,65,805
1252,14,66,804
1253,14,67,884
1254,14,68,1380
1255,14,69,924
1256,14,70,923
1257,14,71,950
1258,14,72,1022
1259,14,73,901
1260,14,74,900
1261,14,75,1064
1262,14,76,1001
1263,14,77,1028
1264,14,78,1027
1265,14,79,4861
1266,14,80,1067
1267,14,81,997
1268,14,82,996
1269,14,83,2721
1270,14,84,1119
1271,14,85,1118
1272,14,86,1145
1273,14,87,1232
1274,14,88,1157
1275,14,89,1093
1276,14,90,1092
1277,14,91,1196
1278,14,92,1223
1279,14,93,1222
1280,14,94,2280
1281,14,95,1262
1282,14,96,1358
1283,14,97,1274
1284,14,98,3564
1285,14,99,1314
1286,14,100,1313
1287,15,2,1
1288,15,3,16
1289,15,4,64
1290,15,5,52
1291,15,6,96
1292,15,7,96
1293,15,8,103
1294,15,9,137
1295,15,10,137
1296,15,11,171
1297,15,12,192
1298,15,13,205
1299,15,14,224
1300,15,15,208
1301,15,16,238
1302,15,17,267
1303,15,18,247
1304,15,19,253
1305,15,20,252
1306,15,21,277
1307,15,22,322
1308,15,23,351
1309,15,24,313
1310,15,25,379
1311,15,26,378
1312,15,27,392
1313,15,28,406
1314,15,29,435
1315,15,30,417
1316,15,31,448
1317,15,32,429
1318,15,33,491
1319,15,34,490
1320,15,35,519
1321,15,36,518
1322,15,37,532
1323,15,38,546
1324,15,39,575
1325,15,40,533
1326,15,41,603
1327,15,42,602
1328,15,43,631
1329,15,44,540
1330,15,45,612
1331,15,46,611
1332,15,47,638
1333,15,48,601
1334,15,49,715
1335,15,50,714
1336,15,51,743
1337,15,52,742
1338,15,53,771
1339,15,54,617
1340,15,55,799
1341,15,56,684
1342,15,57,709
1343,15,58,826
1344,15,59,855
1345,15,60,854
1346,15,61,883
1347,15,62,833
1348,15,63,832
1349,15,64,910
1350,15,65,805
1351,15,66,938
1352,15,67,967
1353,15,68,966
1354,15,69,995
1355,15,70,994
1356,15,71,1023
1357,15,72,889
1358,15,73,1051
1359,15,74,989
1360,15,75,1079
1361,15,76,1078
1362,15,77,1107
1363,15,78,1106
1364,15,79,1054
1365,15,80,972
1366,15,81,1163
1367,15,82,1162
1368,15,83,1191
1369,15,84,1190
1370,15,85,1219
1371,15,86,1145
1372,15,87,1247
1373,15,88,1246
1374,15,89,1275
1375,15,90,1092
1376,15,91,1210
1377,15,92,1302
1378,15,93,1331
1379,15,94,1235
1380,15,95,1359
1381,15,96,1358
1382,15,97,1189
1383,15,98,1188
1384,15,99,1213
1385,15,100,1414
1386,16,2,1
1387,16,3,34
1388,16,4,68
1389,16,5,68
1390,16,6,102
1391,16,7,85
1392,16,8,102
1393,16,9,136
1394,16,10,136
1395,16,11,170
1396,16,12,204
1397,16,13,204
1398,16,14,221
1399,16,15,238
1400,16,16,238
1401,16,17,288
1402,16,18,304
1403,16,19,320
1404,16,20,336
1405,16,21,352
1406,16,22,368
1407,16,23,384
1408,16,24,400
1409,16,25,416
1410,16,26,432
1411,16,27,448
1412,16,28,464
1413,16,29,480
1414,16,30,496
1415,16,31,463
1416,16,32,462
1417,16,33,491
1418,16,34,490
1419,16,35,576
1420,16,36,592
1421,16,37,608
1422,16,38,624
1423,16,39,640
1424,16,40,656
1425,16,41,672
1426,16,42,688
1427,16,43,704
1428,16,44,720
1429,16,45,736
1430,16,46,752
1431,16,47,768
1432,16,48,784
1433,16,49,715
1434,16,50,714
1435,16,51,832
1436,16,52,848
1437,16,53,864
1438,16,54,880
1439,16,55,896
1440,16,56,912
1441,16,57,928
1442,16,58,944
1443,16,59,960
1444,16,60,976
1445,16,61,992
1446,16,62,1008
1447,16,63,1024
1448,16,64,1040
1449,16,65,939
1450,16,66,938
1451,16,67,967
1452,16,68,966
1453,16,69,1120
1454,16,70,1136
1455,16,71,1152
1456,16,72,1168
1457,16,73,1184
1458,16,74,1200
1459,16,75,1216
1460,16,76,1232
1461,16,77,1248
1462,16,78,1264
