,A,B,max_Delay
718,9,27,826
719,9,28,2424
720,9,29,945
721,9,30,900
722,9,31,1072
723,9,32,911
724,9,33,872
725,9,34,1428
726,9,35,980
727,9,36,576
728,9,37,1184
729,9,38,1233
730,9,39,1107
731,9,40,2480
732,9,41,1163
733,9,42,1092
734,9,43,1915
735,9,44,1232
736,9,45,720
737,9,46,2233
738,9,47,1521
739,9,48,1262
740,9,49,1585
741,9,50,1617
742,9,51,1443
743,9,52,1786
744,9,53,1499
745,9,54,1636
746,9,55,1777
747,9,56,1809
748,9,57,1841
749,9,58,1990
750,9,59,1905
751,9,60,1937
752,9,61,3691
753,9,62,1876
754,9,63,1008
755,9,64,2581
756,9,65,2080
757,9,66,2129
758,9,67,2010
759,9,68,2176
760,9,69,1947
761,9,70,3640
762,9,71,2289
763,9,72,1152
764,9,73,3504
765,9,74,2072
766,9,75,2400
767,9,76,2602
768,9,77,2016
769,9,78,2356
770,9,79,2844
771,9,80,2255
772,9,81,2446
773,9,82,2952
774,9,83,2673
775,9,84,2367
776,9,85,2908
777,9,86,2580
778,9,87,2626
779,9,88,2816
780,9,89,2328
781,9,90,1440
782,9,91,5674
783,9,92,2221
784,9,93,2993
785,9,94,6204
786,9,95,2293
787,9,96,3089
788,9,97,4656
789,9,98,3153
790,9,99,1584
791,9,100,5428
792,10,2,20
793,10,3,106
794,10,4,85
795,10,5,80
796,10,6,222
797,10,7,360
798,10,8,306
799,10,9,485
800,10,10,180
801,10,11,418
802,10,12,528
803,10,13,447
804,10,14,683
805,10,15,570
806,10,16,640
807,10,17,1157
808,10,18,593
809,10,19,625
810,10,20,698
811,10,21,775
812,10,22,748
813,10,23,828
814,10,24,834
815,10,25,919
816,10,26,849
817,10,27,1188
818,10,28,1027
819,10,29,1063
820,10,30,540
821,10,31,1135
822,10,32,1431
823,10,33,924
824,10,34,1224
825,10,35,1260
826,10,36,1315
827,10,37,2294
828,10,38,1233
829,10,39,1404
830,10,40,1378
831,10,41,1329
832,10,42,2211
833,10,43,1393
834,10,44,1320
835,10,45,1457
836,10,46,1582
837,10,47,2632
838,10,48,1747
839,10,49,1783
840,10,50,1819
841,10,51,1649
842,10,52,2496
843,10,53,1713
844,10,54,1745
845,10,55,1430
846,10,56,2035
847,10,57,2876
848,10,58,2107
849,10,59,1667
850,10,60,2179
851,10,61,2215
852,10,62,4836
853,10,63,2287
854,10,64,2194
855,10,65,2340
856,10,66,2129
857,10,67,2971
858,10,68,2312
859,10,69,2503
860,10,70,1260
861,10,71,2289
862,10,72,3456
863,10,73,2647
864,10,74,2385
865,10,75,2719
866,10,76,2755
867,10,77,4004
868,10,78,2513
869,10,79,2704
870,10,80,2738
871,10,81,2935
872,10,82,4920
873,10,83,2673
874,10,84,3043
875,10,85,3060
876,10,86,2942
877,10,87,5046
878,10,88,3187
879,10,89,3223
880,10,90,1620
881,10,91,2929
882,10,92,4416
883,10,93,3367
884,10,94,3403
885,10,95,3420
886,10,96,3456
887,10,97,3706
888,10,98,3528
889,10,99,3185
890,10,100,3418
891,11,2,22
892,11,3,66
893,11,4,110
894,11,5,185
895,11,6,220
896,11,7,185
897,11,8,396
898,11,9,286
899,11,10,418
900,11,11,220
901,11,12,677
902,11,13,702
903,11,14,625
904,11,15,668
905,11,16,1520
906,11,17,491
907,11,18,630
908,11,19,762
909,11,20,1129
910,11,21,714
911,11,22,440
912,11,23,941
913,11,24,981
914,11,25,1021
915,11,26,1061
916,11,27,1156
917,11,28,913
918,11,29,1181
919,11,30,1140
920,11,31,1116
921,11,32,1171
922,11,33,660
923,11,34,1381
924,11,35,1421
925,11,36,1461
926,11,37,1351
927,11,38,1618
928,11,39,1581
929,11,40,1520
930,11,41,1661
931,11,42,1701
932,11,43,1654
933,11,44,880
934,11,45,1639
935,11,46,1861
936,11,47,1692
937,11,48,1941
938,11,49,2080
939,11,50,1819
940,11,51,1938
941,11,52,2101
942,11,53,2141
943,11,54,2072
944,11,55,1100
945,11,56,2261
946,11,57,2301
947,11,58,2341
948,11,59,2360
949,11,60,3240
950,11,61,2338
951,11,62,2251
952,11,63,2541
953,11,64,2323
954,11,65,2340
955,11,66,1320
956,11,67,2701
957,11,68,2741
958,11,69,2781
959,11,70,2821
960,11,71,3004
961,11,72,2901
962,11,73,2941
963,11,74,2516
964,11,75,3021
965,11,76,2432
966,11,77,1540
967,11,78,3141
968,11,79,3181
969,11,80,3221
970,11,81,3261
971,11,82,3466
972,11,83,3341
973,11,84,3360
974,11,85,3421
975,11,86,3268
976,11,87,2976
977,11,88,1760
978,11,89,3581
979,11,90,3621
980,11,91,3661
981,11,92,3331
982,11,93,3928
983,11,94,3781
984,11,95,3821
985,11,96,3861
986,11,97,3706
987,11,98,3744
988,11,99,1980
989,11,100,4021
990,12,2,26
991,12,3,48
992,12,4,72
993,12,5,408
994,12,6,226
995,12,7,276
996,12,8,360
997,12,9,528
998,12,10,528
999,12,11,677
1000,12,12,264
1001,12,13,839
1002,12,14,728
1003,12,15,1211
1004,12,16,1190
1005,12,17,1717
1006,12,18,1204
1007,12,19,1026
1008,12,20,1047
1009,12,21,1176
1010,12,22,1496
1011,12,23,1035
1012,12,24,1030
1013,12,25,1812
1014,12,26,902
1015,12,27,1156
1016,12,28,1797
1017,12,29,1299
1018,12,30,1260
1019,12,31,1923
1020,12,32,1366
1021,12,33,1341
1022,12,34,3876
1023,12,35,1470
1024,12,36,1607
1025,12,37,5777
1026,12,38,1618
1027,12,39,1404
1028,12,40,2431
1029,12,41,1827
1030,12,42,1848
1031,12,43,2064
1032,12,44,1959
1033,12,45,2003
1034,12,46,2300
1035,12,47,1996
1036,12,48,2135
1037,12,49,2179
1038,12,50,2223
1039,12,51,2267
1040,12,52,2080
1041,12,53,2332
1042,12,54,2399
1043,12,55,3442
1044,12,56,2035
1045,12,57,2531
1046,12,58,3277
1047,12,59,2619
1048,12,60,1320
1049,12,61,4026
1050,12,62,2751
1051,12,63,2795
1052,12,64,5290
1053,12,65,2340
1054,12,66,2772
1055,12,67,3781
1056,12,68,2878
1057,12,69,3059
1058,12,70,3667
1059,12,71,3004
1060,12,72,3046
1061,12,73,3382
1062,12,74,3279
1063,12,75,3323
1064,12,76,4744
1065,12,77,3411
1066,12,78,2496
1067,12,79,5214
1068,12,80,3543
1069,12,81,3587
1070,12,82,4756
1071,12,83,3675
1072,12,84,1848
1073,12,85,4447
1074,12,86,3634
1075,12,87,3851
1076,12,88,5311
1077,12,89,3939
1078,12,90,3983
1079,12,91,6552
1080,12,92,3496
1081,12,93,4115
1082,12,94,5671
1083,12,95,4180
1084,12,96,4054
1085,12,97,12222
1086,12,98,4138
1087,12,99,4379
1088,12,100,6800
1089,13,2,26
1090,13,3,78
1091,13,4,163
1092,13,5,163
1093,13,6,677
1094,13,7,260
1095,13,8,366
1096,13,9,832
1097,13,10,447
1098,13,11,702
1099,13,12,839
1100,13,13,312
1101,13,14,959
1102,13,15,823
1103,13,16,928
1104,13,17,789
1105,13,18,1019
1106,13,19,1368
1107,13,20,739
1108,13,21,1008
1109,13,22,1419
1110,13,23,1529
1111,13,24,1632
1112,13,25,1174
1113,13,26,624
1114,13,27,1321
1115,13,28,1369
1116,13,29,1417
1117,13,30,1465
1118,13,31,1513
1119,13,32,1626
1120,13,33,1452
1121,13,34,1657
1122,13,35,1705
1123,13,36,1753
1124,13,37,1801
1125,13,38,1618
1126,13,39,936
1127,13,40,1945
1128,13,41,1968
1129,13,42,2041
1130,13,43,1915
1131,13,44,2137
1132,13,45,2276
1133,13,46,2047
1134,13,47,2186
1135,13,48,2135
1136,13,49,2377
1137,13,50,2425
1138,13,51,2267
1139,13,52,1248
1140,13,53,2355
1141,13,54,2617
1142,13,55,2640
1143,13,56,2713
1144,13,57,2761
1145,13,58,2926
1146,13,59,2857
1147,13,60,2905
1148,13,61,2953
1149,13,62,3001
1150,13,63,2668
1151,13,64,2968
1152,13,65,1560
1153,13,66,3193
1154,13,67,3241
1155,13,68,3289
1156,13,69,3337
1157,13,70,3385
1158,13,71,3576
1159,13,72,2901
1160,13,73,3529
1161,13,74,3552
1162,13,75,3625
1163,13,76,3673
1164,13,77,3080
1165,13,78,1872
1166,13,79,3499
1167,13,80,3865
1168,13,81,3888
1169,13,82,3631
1170,13,83,3675
1171,13,84,7560
1172,13,85,4105
1173,13,86,4153
1174,13,87,3306
1175,13,88,4249
1176,13,89,4118
1177,13,90,3440
1178,13,91,2184
1179,13,92,4048
1180,13,93,4489
1181,13,94,4537
1182,13,95,4203
1183,13,96,4633
1184,13,97,4876
