,A,B,max_Delay
582,98,81,11466
583,98,82,27048
584,98,83,89964
585,98,84,inf
586,98,85,11858
587,98,86,9996
588,98,87,13720
589,98,88,10584
590,98,89,16464
591,98,90,49686
592,98,91,16464
593,98,92,19992
594,98,93,16072
595,98,94,15484
596,98,95,14112
597,98,96,9604
598,98,97,912576
599,98,98,9603
600,98,99,14601
601,98,100,9797
602,99,2,198
603,99,3,inf
604,99,4,594
605,99,5,495
606,99,6,inf
607,99,7,693
608,99,8,1584
609,99,9,792
610,99,10,990
611,99,11,990
612,99,12,1485
613,99,13,3168
614,99,14,2178
615,99,15,2376
616,99,16,17820
617,99,17,2574
618,99,18,2970
619,99,19,2970
620,99,20,3564
621,99,21,4554
622,99,22,2574
623,99,23,5841
624,99,24,4158
625,99,25,10395
626,99,26,5742
627,99,27,3069
628,99,28,5940
629,99,29,4257
630,99,30,5643
631,99,31,16335
632,99,32,32769
633,99,33,inf
634,99,34,39204
635,99,35,10098
636,99,36,4752
637,99,37,5643
638,99,38,5247
639,99,39,10989
640,99,40,4455
641,99,41,5742
642,99,42,9108
643,99,43,19008
644,99,44,15840
645,99,45,5148
646,99,46,27126
647,99,47,6336
648,99,48,5049
649,99,49,9504
650,99,50,6534
651,99,51,16236
652,99,52,11088
653,99,53,22968
654,99,54,29502
655,99,55,7128
656,99,56,8910
657,99,57,10692
658,99,58,36432
659,99,59,9504
660,99,60,9603
661,99,61,10692
662,99,62,31284
663,99,63,8415
664,99,64,37026
665,99,65,135234
666,99,66,inf
667,99,67,8811
668,99,68,11979
669,99,69,15444
670,99,70,16731
671,99,71,41382
672,99,72,16038
673,99,73,7821
674,99,74,14454
675,99,75,20196
676,99,76,58509
677,99,77,14256
678,99,78,8514
679,99,79,37026
680,99,80,52074
681,99,81,13761
682,99,82,13266
683,99,83,18216
684,99,84,14949
685,99,85,18909
686,99,86,19305
687,99,87,76824
688,99,88,10494
689,99,89,64350
690,99,90,20196
691,99,91,32472
692,99,92,19899
693,99,93,12969
694,99,94,14058
695,99,95,22176
696,99,96,19206
697,99,97,9801
698,99,98,941094
699,99,99,9800
700,99,100,9898
701,100,2,inf
702,100,3,300
703,100,4,300
704,100,5,inf
705,100,6,800
706,100,7,2400
707,100,8,1400
708,100,9,1600
709,100,10,inf
710,100,11,1400
711,100,12,1300
712,100,13,4800
713,100,14,1800
714,100,15,inf
715,100,16,4200
716,100,17,2700
717,100,18,6800
718,100,19,6900
719,100,20,inf
720,100,21,2700
721,100,22,5500
722,100,23,4300
723,100,24,13800
724,100,25,2400
725,100,26,5200
726,100,27,2900
727,100,28,14100
728,100,29,7800
729,100,30,inf
730,100,31,4000
731,100,32,3600
732,100,33,4800
733,100,34,5400
734,100,35,4800
735,100,36,12600
736,100,37,39600
737,100,38,23200
738,100,39,29000
739,100,40,inf
740,100,41,7800
741,100,42,10700
742,100,43,6900
743,100,44,8500
744,100,45,8000
745,100,46,7000
746,100,47,8400
747,100,48,30000
748,100,49,117600
749,100,50,inf
750,100,51,10200
751,100,52,7800
752,100,53,7300
753,100,54,13600
754,100,55,10600
755,100,56,6400
756,100,57,7500
757,100,58,37200
758,100,59,66400
759,100,60,inf
760,100,61,7900
761,100,62,16600
762,100,63,13600
763,100,64,18300
764,100,65,10000
765,100,66,12700
766,100,67,15000
767,100,68,37100
768,100,69,43800
769,100,70,inf
770,100,71,17400
771,100,72,30200
772,100,73,9300
773,100,74,131700
